Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	27	D	Down	51	3035A	3002B	F4	4037	C	51D4037C	1	1	26.05.2017	3,51	4,97	7,52	2,83	2,98	21,78	28,51	21,8456	620,9478	NA		
4	47	D	Down	51	3035A	3002B	F4	4037	C	51D4037C	2	1	30.05.2017	2,9	5,02	6,84	2,38	2,95	22,73	27,31	18,2286	620,7563	NA		
4	185	D	Down	51	3035A	3002B	F4	4037	C	51D4037C	3	1	07.07.2017	2,55	5,65	7,51	3,11	2,98	21,75	26,69	22,86795	580,5075	NA		
4	30	D	Down	51	3035A	3002B	F4	4037	A	51D4037A	1	1	26.05.2017	3,01	5,46	7,6	2,81	3,03	19,54	23,48	22,192	458,7992	NA		
4	31	D	Down	51	3035A	3002B	F4	4037	A	51D4037A	2	1	26.05.2017	4,34	4,72	7,63	3,51	3,69	19,98	24,1	27,468	481,518	NA		
4	51	D	Down	51	3035A	3002B	F4	4037	A	51D4037A	3	1	05.06.2017	3,65	5,48	7,88	3,53	3,2	20,2	22,6	26,5162	456,52	NA		
4	20	D	Down	51	3035A	3004A	F4	4038	C	51D4038C	1	1	25.05.2017	2,63	5,4	6,85	2,93	2,81	20,05	23,45	19,6595	470,1725	NA		
4	119	D	Down	51	3035A	3004A	F4	4038	C	51D4038C	2	1	27.06.2017	3,71	4,21	7,73	2,8	2,87	18,82	21,7	21,91455	408,394	NA		
4	216	D	Down	51	3035A	3004A	F4	4038	C	51D4038C	3	1	25.07.2017	3,32	5,23	8,1	3,12	3,02	18,05	22,47	24,867	405,5835	NA		
4	123	D	Down	51	3035A	3004A	F4	4038	D	51D4038D	1	1	27.06.2017	2,42	5,65	7,47	2,91	3,01	20,68	26,18	22,1112	541,4024	NA		
4	230	D	Down	51	3035A	3004A	F4	4038	D	51D4038D	2	1	14.08.2017	2,37	5,34	7,55	3,73	3,41	19,17	23,19	26,9535	444,5523	NA		
4	233	D	Down	51	3035A	3004A	F4	4038	D	51D4038D	3	3	17.08.2017	1,5	5,1	7,32	2,87	2,89	19,66	24,03	21,0816	472,4298	NA		
4	25	D	Down	51	3035A	3029A	F4	4039	A	51D4039A	1	1	25.05.2017	3,88	4,11	6,63	2,06	1,97	18,84	22,34	13,35945	420,8856	NA		
4	112	D	Down	51	3035A	3029A	F4	4039	A	51D4039A	2	2	26.06.2017	3,6	5,52	7,78	3,36	3,47	20,94	25,22	26,5687	528,1068	NA		
4	131	D	Down	51	3035A	3029A	F4	4039	A	51D4039A	3	1	27.06.2017	3,35	4,96	7,3	2,56	2,72	17,78	21,1	19,272	375,158	NA		
4	21	D	Down	51	3035A	3057B	F4	4040	C	51D4040C	1	1	25.05.2017	1,71	5,5	6,4	2,49	2,92	18,96	23,35	17,312	442,716	NA		
