No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
227	D	Down	70	70D3048	D3037	F4	4039	B	70D4039B	2	2	29.08.2016	0,1	2,64	6,26	2,13	2,05	20,97	18,74	13,0834	392,9778	NA		
236	D	Down	70	70D3048	D3037	F4	4039	B	70D4039B	3	1	02.09.2016	1,41	2,82	5,17	1,46	1,93	18,26	16,94	8,76315	309,3244	NA		
148	D	Down	70	70D3048	D3054	F4	4040	A	70D4040A	1	1	08.08.2016	0	2,84	5,76	2,07	2,21	17,87	17,97	12,3264	321,1239	NA		
149	D	Down	70	70D3048	D3054	F4	4040	A	70D4040A	2	2	08.08.2016	0	2,98	5,96	2,14	2,28	19,89	18,93	13,1716	376,5177	NA		
189	D	Down	70	70D3048	D3054	F4	4040	A	70D4040A	3	1	23.08.2016	0	2,82	6,24	2,69	2,59	19,12	19,29	16,4736	368,8248	NA		
115	D	Down	70	70D3049	D3006B	F4	4041	A	70D4041A	1	1	29.07.2016	0	2,6	5,89	2,22	2,28	17,15	17,22	13,2525	295,323	NA		
167	D	Down	70	70D3049	D3006B	F4	4041	A	70D4041A	2	1	23.08.2016	1,1	3,27	6,15	2,13	2,58	18,45	18,51	14,48325	341,5095	NA		
170	D	Down	70	70D3049	D3006B	F4	4041	A	70D4041A	3	1	23.08.2016	0	3,14	6,17	2,43	2,37	16,96	16,29	14,808	276,2784	NA		
53	D	Down	70	70D3049	D3006B	F4	4041	B	70D4041B	1	2	26.07.2016	0,74	2,65	6,2	2,06	2,56	17,45	18,42	14,322	321,429	NA		
67	D	Down	70	70D3049	D3006B	F4	4041	B	70D4041B	2	1	27.07.2016	NA	2,87	6,48	2,06	2,33	17,19	16,71	14,2236	287,2449	NA		
107	D	Down	70	70D3049	D3006B	F4	4041	B	70D4041B	3	3	29.07.2016	0	3,1	6,49	1,95	2,28	17,63	17,33	13,72635	305,5279	NA		
27	D	Down	70	70D3049	D3029	F4	4042	A	70D4042A	1	1	21.07.2016	0	3,98	5,5	1,96	1,82	18,28	18,93	10,395	346,0404	NA		
165	D	Down	70	70D3049	D3029	F4	4042	A	70D4042A	2	1	10.08.2016	NA	4	8,61	2,81	2,77	25,8	23,13	24,0219	596,754	NA		
230	D	Down	70	70D3049	D3029	F4	4042	A	70D4042A	3	1	29.08.2016	NA	3,59	7,55	2,71	3,07	25,01	23,01	21,8195	575,4801	NA		
66	D	Down	70	70D3049	D3029	F4	4042	B	70D4042B	1	2	27.07.2016	2,42	3,43	6,62	2,59	2,16	22,42	21,57	15,7225	483,5994	NA		
221	D	Down	70	70D3049	D3029	F4	4042	B	70D4042B	2	1	28.08.2016	1,19	2,52	5,82	2,19	2,19	18,89	18,69	12,7458	353,0541	NA		
